airfoil,case,mach,AoA,Re,cd,cl,convergence_file,flow_tensor_path,full_flow_tensor_path
32493G2AL0,10,0.7283108589345016,-1.8048113613662338,6440000.0,0.018298503668608756,0.012020530873802567,airfoil_32493_G2_A_L0_case_10_convergence.pkl,32493G2AL0_10_000_Mach_0.7283_flow_tensor.npy,32493G2AL0_10_Mach_0.7283_full_flow_tensor.npy
30049G2AL0,2,0.6733618477371763,5.9835677533819185,7430000.0,1.0028844854032442,0.04105394089077996,airfoil_30049_G2_A_L0_case_2_convergence.pkl,30049G2AL0_2_000_Mach_0.6734_flow_tensor.npy,30049G2AL0_2_Mach_0.6734_full_flow_tensor.npy
3346G2AL0,11,0.250944434361035,-1.6709093746135029,1160000.0,0.07115380962794705,0.028530263273889307,airfoil_3346_G2_A_L0_case_11_convergence.pkl,3346G2AL0_11_000_Mach_0.2509_flow_tensor.npy,3346G2AL0_11_Mach_0.2509_full_flow_tensor.npy
24389G2AL0,8,0.36828834405387134,-1.9614132336918293,6370000.0,0.4874865559008514,0.010339285938764488,airfoil_24389_G2_A_L0_case_8_convergence.pkl,24389G2AL0_8_000_Mach_0.3683_flow_tensor.npy,24389G2AL0_8_Mach_0.3683_full_flow_tensor.npy
41254G2AL0,0,0.672900776281952,1.3210206566942175,4530000.0,0.9019051063953746,0.018084812088268107,airfoil_41254_G2_A_L0_case_0_convergence.pkl,41254G2AL0_0_000_Mach_0.6729_flow_tensor.npy,41254G2AL0_0_Mach_0.6729_full_flow_tensor.npy
28765G2AL0,6,0.49332626515290046,1.9430694806855415,9170000.0,0.7153784030084283,0.010831693301157007,airfoil_28765_G2_A_L0_case_6_convergence.pkl,28765G2AL0_6_000_Mach_0.4933_flow_tensor.npy,28765G2AL0_6_Mach_0.4933_full_flow_tensor.npy
3G2AL0,3,0.620159848724588,5.395578551164547,2750000.0,0.6374202097021615,0.07374178597636225,airfoil_3_G2_A_L0_case_3_convergence.pkl,3G2AL0_3_000_Mach_0.6202_flow_tensor.npy,3G2AL0_3_Mach_0.6202_full_flow_tensor.npy
56053G2AL0,8,0.7493364652497221,1.7048023747226737,8520000.0,0.47180485840408715,0.057842129910873,airfoil_56053_G2_A_L0_case_8_convergence.pkl,56053G2AL0_8_000_Mach_0.7493_flow_tensor.npy,56053G2AL0_8_Mach_0.7493_full_flow_tensor.npy
31787G2AL0,11,0.21525414065529233,3.107985798922372,9150000.0,0.8970169193291941,0.011818946871874826,airfoil_31787_G2_A_L0_case_11_convergence.pkl,31787G2AL0_11_000_Mach_0.2153_flow_tensor.npy,31787G2AL0_11_Mach_0.2153_full_flow_tensor.npy
41259G2AL0,5,0.7841555560268529,2.830267478227941,1140000.0,0.6412398310523909,0.06037685470180081,airfoil_41259_G2_A_L0_case_5_convergence.pkl,41259G2AL0_5_000_Mach_0.7842_flow_tensor.npy,41259G2AL0_5_Mach_0.7842_full_flow_tensor.npy
50690G2AL0,11,0.14494335809074999,5.760431896028977,3970000.0,1.2765903888482273,0.017342067022083955,airfoil_50690_G2_A_L0_case_11_convergence.pkl,50690G2AL0_11_000_Mach_0.1449_flow_tensor.npy,50690G2AL0_11_Mach_0.1449_full_flow_tensor.npy
3905G2AL0,8,0.3864409866141556,4.691825660844992,5920000.0,0.5924012000413598,0.010788241211408822,airfoil_3905_G2_A_L0_case_8_convergence.pkl,3905G2AL0_8_000_Mach_0.3864_flow_tensor.npy,3905G2AL0_8_Mach_0.3864_full_flow_tensor.npy
45912G2AL0,10,0.5131362480471875,-1.9577969631683036,2850000.0,0.4655946911130059,0.013362953501315566,airfoil_45912_G2_A_L0_case_10_convergence.pkl,45912G2AL0_10_000_Mach_0.5131_flow_tensor.npy,45912G2AL0_10_Mach_0.5131_full_flow_tensor.npy
26675G2AL0,1,0.29956243824425366,3.9516390957271756,8110000.0,0.8364966400198554,0.010554616177318347,airfoil_26675_G2_A_L0_case_1_convergence.pkl,26675G2AL0_1_000_Mach_0.2996_flow_tensor.npy,26675G2AL0_1_Mach_0.2996_full_flow_tensor.npy
42351G2AL0,8,0.3108951202212781,4.878164719987004,8530000.0,0.7950053740658308,0.010951153323925569,airfoil_42351_G2_A_L0_case_8_convergence.pkl,42351G2AL0_8_000_Mach_0.3109_flow_tensor.npy,42351G2AL0_8_Mach_0.3109_full_flow_tensor.npy
44927G2AL0,1,0.17257175279332598,2.457770640123135,4370000.0,1.009649750891027,0.010835614743898972,airfoil_44927_G2_A_L0_case_1_convergence.pkl,44927G2AL0_1_000_Mach_0.1726_flow_tensor.npy,44927G2AL0_1_Mach_0.1726_full_flow_tensor.npy
20190G2AL0,7,0.7523931171433437,0.31166103567619086,3840000.0,0.459292706535025,0.013651423772068327,airfoil_20190_G2_A_L0_case_7_convergence.pkl,20190G2AL0_7_000_Mach_0.7524_flow_tensor.npy,20190G2AL0_7_Mach_0.7524_full_flow_tensor.npy
16402G2AL0,6,0.7898519542099113,3.3264214772148746,7780000.0,0.077755951627969,0.12958042103673648,airfoil_16402_G2_A_L0_case_6_convergence.pkl,16402G2AL0_6_000_Mach_0.7899_flow_tensor.npy,16402G2AL0_6_Mach_0.7899_full_flow_tensor.npy
13295G2AL0,2,0.7694054620122813,-1.7565640801446967,6140000.0,-0.41759844457527495,0.011982290918385863,airfoil_13295_G2_A_L0_case_2_convergence.pkl,13295G2AL0_2_000_Mach_0.7694_flow_tensor.npy,13295G2AL0_2_Mach_0.7694_full_flow_tensor.npy
13786G2AL0,9,0.27525864585123294,3.2572998009987018,3610000.0,0.7266705638899654,0.013479129190259254,airfoil_13786_G2_A_L0_case_9_convergence.pkl,13786G2AL0_9_000_Mach_0.2753_flow_tensor.npy,13786G2AL0_9_Mach_0.2753_full_flow_tensor.npy
42463G2AL0,11,0.8000238809423683,4.156891521124193,5060000.0,0.24174498629485291,0.05772564374694943,airfoil_42463_G2_A_L0_case_11_convergence.pkl,42463G2AL0_11_000_Mach_0.8000_flow_tensor.npy,42463G2AL0_11_Mach_0.8000_full_flow_tensor.npy
50732G2AL0,1,0.725015776164043,2.6905757500096676,8530000.0,0.41913086094686264,0.08869172807828743,airfoil_50732_G2_A_L0_case_1_convergence.pkl,50732G2AL0_1_000_Mach_0.7250_flow_tensor.npy,50732G2AL0_1_Mach_0.7250_full_flow_tensor.npy
22389G2AL0,7,0.4016938986262685,3.080174409921198,2040000.0,1.1467239512167724,0.017104877233638897,airfoil_22389_G2_A_L0_case_7_convergence.pkl,22389G2AL0_7_000_Mach_0.4017_flow_tensor.npy,22389G2AL0_7_Mach_0.4017_full_flow_tensor.npy
53007G2AL0,9,0.21267612378861678,3.561546715093585,5570000.0,0.739095524421718,0.01245149995182337,airfoil_53007_G2_A_L0_case_9_convergence.pkl,53007G2AL0_9_000_Mach_0.2127_flow_tensor.npy,53007G2AL0_9_Mach_0.2127_full_flow_tensor.npy
45845G2AL0,8,0.14522073591017273,0.8459267943843072,1270000.0,0.8047919234899631,0.02826428041084455,airfoil_45845_G2_A_L0_case_8_convergence.pkl,45845G2AL0_8_000_Mach_0.1452_flow_tensor.npy,45845G2AL0_8_Mach_0.1452_full_flow_tensor.npy
15921G2AL0,9,0.6070722173846013,0.41587264787162814,6260000.0,0.5207576567032797,0.008656147577408407,airfoil_15921_G2_A_L0_case_9_convergence.pkl,15921G2AL0_9_000_Mach_0.6071_flow_tensor.npy,15921G2AL0_9_Mach_0.6071_full_flow_tensor.npy
100G2AL0,10,0.24095378258086583,0.8993734490173346,1080000.0,0.4434567969039849,0.040112869076004753,airfoil_100_G2_A_L0_case_10_convergence.pkl,100G2AL0_10_000_Mach_0.2410_flow_tensor.npy,100G2AL0_10_Mach_0.2410_full_flow_tensor.npy
22348G2AL0,10,0.32746791385126706,5.80068740910377,8160000.0,1.5078106738031687,0.018388326784798504,airfoil_22348_G2_A_L0_case_10_convergence.pkl,22348G2AL0_10_000_Mach_0.3275_flow_tensor.npy,22348G2AL0_10_Mach_0.3275_full_flow_tensor.npy
2531G2AL0,2,0.2576917889287322,2.853451597468827,1170000.0,0.9849098224618825,0.025153252874577963,airfoil_2531_G2_A_L0_case_2_convergence.pkl,2531G2AL0_2_000_Mach_0.2577_flow_tensor.npy,2531G2AL0_2_Mach_0.2577_full_flow_tensor.npy
53483G2AL0,11,0.29344229159976387,0.5873709505107754,6710000.0,0.7255242309432635,0.02418395239223652,airfoil_53483_G2_A_L0_case_11_convergence.pkl,53483G2AL0_11_000_Mach_0.2934_flow_tensor.npy,53483G2AL0_11_Mach_0.2934_full_flow_tensor.npy
